7053;7057;1035.0
7054;7058;592.0
7056;7059;353.0
7057;7060;295.0
7058;7069;75886.0
7058;7062;371.0
7060;7061;129.0
7061;7063;94.0
7062;7064;133.0
7062;7067;2573.0
7064;7065;309.0
7065;7066;582.0
7067;7068;118.0
7070;7071;961.0
7072;7073;29339.0
7073;7079;300392.0
7074;7075;4427.0
7075;7076;1023.0
7076;7077;368.0
7077;7078;113.0
7079;7080;1829.0
7080;7081;55467.0
7081;7082;9939.0
7083;7084;65502.0
7084;7085;82211.0
7085;7086;153859.0
7086;7088;41603.0
7086;7087;711.0
7087;7089;43113.0
7090;7091;8903.0
7091;7092;105.0
