Height,Number of children
 ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Subtotal
0,9475,9523,1926,362,91,27,9,4,4,1,1,0,0,0,1,21424
1,7821,6324,847,106,8,1,0,0,0,0,0,0,0,0,0,15107
2,3973,3767,553,72,8,0,0,0,0,0,0,0,0,0,0,8373
3,2385,2376,327,29,3,1,0,0,0,0,0,0,0,0,0,5121
4,1389,1485,226,28,5,1,0,0,0,0,0,0,0,0,0,3134
5,924,953,151,13,4,1,0,0,0,0,0,0,0,0,0,2046
6,540,641,125,9,0,0,0,0,0,0,0,0,0,0,0,1315
7,396,445,70,6,1,0,0,0,0,0,0,0,0,0,0,918
8,255,295,50,7,0,0,0,0,0,0,0,0,0,0,0,607
9,171,214,24,5,2,0,0,0,0,0,0,0,0,0,0,416
10,108,152,21,2,2,0,0,0,0,0,0,0,0,0,0,285
11,88,107,12,1,0,0,0,0,0,0,0,0,0,0,0,208
12,50,71,13,0,0,0,0,0,0,0,0,0,0,0,0,134
13,32,54,10,1,0,0,0,0,0,0,0,0,0,0,0,97
14,31,37,6,1,2,0,0,0,0,0,0,0,0,0,0,77
15,26,30,3,1,0,0,0,0,0,0,0,0,0,0,0,60
16,16,20,2,1,0,0,0,0,0,0,0,0,0,0,0,39
17,8,14,4,1,0,0,0,0,0,0,0,0,0,0,0,27
18,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,25
19,3,9,0,1,0,0,0,0,0,0,0,0,0,0,0,13
20,2,9,1,0,0,0,0,0,0,0,0,0,0,0,0,12
21,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,11
22,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6
23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Total:,59457
